Time[s],XJ3_ACAN_CMX_V0.96::BCS_2_A::BCS_VehSpd[km/h],XJ3_ACAN_CMX_V0.96::EPS_1::EPS_StrngWhlTorq[Nm]
281.826055,27.50625,
281.830458,,0
281.836336,27.50625,
281.846219,27.50625,
281.850466,,0
281.856309,27.5625,
281.866211,27.5625,
281.870223,,0
281.876346,27.5625,
281.88618,27.5625,
281.890468,,0
281.896324,27.5625,
281.90619,27.5625,
281.910195,,0
281.916367,27.5625,
281.926196,27.5625,
281.930547,,0.1
281.936361,27.5625,
281.946232,27.5625,
281.950476,,0.2
281.956226,27.61875,
281.966044,27.61875,
281.97042,,0.2
281.976225,27.675,
281.986051,27.675,
281.990696,,0.3
281.996243,27.675,
282.006041,27.675,
282.01018,,0.3
282.016241,27.675,
282.026038,27.675,
282.030418,,0.3
282.036244,27.73125,
282.046014,27.73125,
282.050426,,0.3
282.056249,27.73125,
282.066052,27.73125,
282.070224,,0.4
282.076241,27.73125,
282.086051,27.73125,
282.09047,,0.4
282.096247,27.7875,
282.106037,27.7875,
282.110155,,0.4
282.116249,27.7875,
282.126056,27.7875,
282.130429,,0.4
282.13624,27.7875,
282.146049,27.7875,
282.150421,,0.4
282.156236,27.7875,
282.166021,27.7875,
282.170143,,0.4
282.176234,27.7875,
282.186054,27.7875,
282.190447,,0.4
282.196268,27.7875,
282.206048,27.7875,
282.210136,,0.5
282.216244,27.7875,
282.226049,27.7875,
282.230382,,0.5
282.23626,27.84375,
282.246037,27.84375,
282.250361,,0.5
282.256236,27.84375,
282.266038,27.9,
282.270121,,0.5
282.276246,27.9,
282.28605,27.9,
282.290114,,0.5
282.296258,27.9,
282.306042,27.9,
282.311079,,0.6
282.316238,27.9,
282.326059,27.9,
282.330117,,0.7
282.336271,27.9,
282.34605,27.9,
282.350356,,0.7
282.356249,27.9,
282.366052,27.9,
282.370103,,0.7
282.376248,27.95625,
282.386046,27.95625,
282.390468,,0.7
282.396259,27.95625,
282.406062,28.0125,
282.410094,,0.7
282.416228,28.0125,
282.426038,28.0125,
282.430098,,0.6
282.436277,28.0125,
282.446044,28.0125,
282.450326,,0.6
282.456232,28.0125,
282.466051,28.0125,
282.470082,,0.6
282.476223,28.0125,
282.486051,28.0125,
282.490476,,0.5
282.496259,28.0125,
282.50606,28.0125,
282.510085,,0.5
282.516268,28.0125,
282.526054,28.06875,
282.530087,,0.5
282.536263,28.06875,
282.546048,28.06875,
282.55032,,0.5
282.556247,28.06875,
282.56603,28.125,
282.570061,,0.5
282.576236,28.125,
282.586044,28.125,
282.590437,,0.5
282.59626,28.125,
282.606037,28.18125,
282.610054,,0.5
282.616246,28.18125,
282.626053,28.18125,
282.6301,,0.5
282.636251,28.18125,
282.646068,28.18125,
282.650286,,0.5
282.656337,28.18125,
282.666207,28.18125,
282.670076,,0.5
282.676343,28.18125,
282.686203,28.18125,
282.690283,,0.4
282.696341,28.18125,
282.706187,28.18125,
282.710046,,0.5
282.716372,28.18125,
282.726211,28.2375,
282.730077,,0.5
282.736358,28.2375,
282.746013,28.2375,
282.750277,,0.4
282.75636,28.2375,
282.766209,28.2375,
282.770026,,0.4
282.776327,28.2375,
282.786208,28.2375,
282.790278,,0.4
282.796368,28.2375,
282.806219,28.2375,
282.81008,,0.4
282.816359,28.2375,
282.82622,28.2375,
282.830047,,0.4
282.836371,28.2375,
282.846063,28.29375,
282.850055,,0.4
282.856351,28.29375,
282.866186,28.29375,
282.870012,,0.3
282.876351,28.29375,
282.886204,28.29375,
282.890012,,0.3
282.896318,28.35,
282.906188,28.35,
282.910013,,0.3
282.916252,28.35,
282.926065,28.35,
282.930042,,0.2
282.936271,28.35,
282.946022,28.35,
282.949992,,0.2
282.956261,28.35,
282.966085,28.35,
282.969986,,0.1
282.976248,28.35,
282.98604,28.40625,
282.990455,,0.1
282.996272,28.40625,
283.006072,28.40625,
283.00999,,0
283.016258,28.40625,
283.026057,28.40625,
283.030027,,0
283.036248,28.40625,
283.046081,28.40625,
283.049984,,0
283.056262,28.40625,
283.066071,28.40625,
283.07005,,0
283.076273,28.40625,
283.086071,28.40625,
283.089977,,0.1
283.096279,28.40625,
283.106067,28.40625,
283.109976,,0
283.116271,28.40625,
283.126047,28.40625,
283.130054,,0
283.136283,28.4625,
283.146094,28.4625,
283.149955,,0
283.156242,28.4625,
283.166211,28.4625,
283.170026,,0
283.176344,28.4625,
283.18619,28.51875,
283.190755,,0
283.19629,28.51875,
283.206196,28.51875,
283.209989,,0
283.216358,28.575,
283.226201,28.575,
283.230049,,0
283.236364,28.575,
283.246222,28.575,
283.249952,,0
283.256356,28.575,
283.266212,28.575,
283.269953,,0
283.276366,28.575,
283.286061,28.575,
283.2905,,0
283.296275,28.575,
283.306077,28.63125,
283.309953,,0
283.316354,28.63125,
283.326053,28.63125,
283.330064,,0
283.336287,28.63125,
283.346056,28.63125,
283.349928,,0
283.356272,28.63125,
283.366068,28.63125,
283.369923,,0
283.376368,28.63125,
283.38624,28.63125,
283.390765,,0
283.396412,28.63125,
283.406229,28.63125,
283.409992,,0
283.416371,28.63125,
283.426202,28.63125,
283.43007,,0
283.436371,28.6875,
283.446216,28.6875,
283.449921,,0
283.456378,28.6875,
283.466209,28.6875,
283.469974,,0
283.476342,28.6875,
283.486228,28.6875,
283.490527,,0
283.496375,28.6875,
283.506205,28.6875,
283.509995,,0
283.516354,28.6875,
283.526215,28.6875,
283.530079,,0
283.536377,28.6875,
283.546216,28.6875,
283.549971,,0
283.556367,28.6875,
283.566203,28.74375,
283.569911,,0
283.576363,28.74375,
283.586227,28.74375,
283.590063,,0
283.596373,28.74375,
283.606224,28.74375,
283.609996,,0
283.616359,28.74375,
283.626224,28.74375,
283.630083,,0
283.63637,28.74375,
283.646224,28.74375,
283.649867,,0
283.656366,28.74375,
283.666208,28.74375,
283.669991,,0
283.676368,28.74375,
283.686228,28.8,
283.69055,,0
283.696212,28.8,
283.706214,28.8,
283.710008,,0
283.716369,28.8,
283.726202,28.8,
283.730094,,0
283.736381,28.8,
283.746208,28.8,
283.749882,,0
283.756354,28.85625,
283.766206,28.85625,
283.76985,,0
283.776366,28.85625,
283.786206,28.85625,
283.790523,,0
283.796372,28.85625,
283.806234,28.85625,
283.809998,,-0.1
283.816365,28.85625,
283.826234,28.85625,
283.830062,,-0.1
283.836394,28.85625,
283.846213,28.85625,
283.849827,,-0.1
283.856365,28.9125,
283.866235,28.9125,
283.869831,,-0.2
283.876389,28.9125,
283.886232,28.9125,
283.890505,,-0.2
283.896302,28.9125,
283.906227,28.9125,
283.909996,,-0.1
283.916361,28.9125,
283.926218,28.9125,
283.929864,,-0.1
283.936385,28.9125,
283.946226,28.9125,
283.94982,,-0.1
283.956369,28.9125,
283.966222,28.9125,
283.969805,,-0.1
283.976392,28.9125,
283.986222,28.9125,
283.990518,,-0.1
283.996364,28.9125,
284.006218,28.9125,
284.010012,,-0.1
284.016365,28.9125,
284.02622,28.9125,
284.03009,,-0.1
284.036369,28.9125,
284.04622,28.9125,
284.049792,,0
284.056348,28.9125,
284.066211,28.9125,
284.069803,,-0.1
284.076381,28.9125,
284.086227,28.9125,
284.090524,,-0.1
284.096389,28.9125,
284.106226,28.9125,
284.110004,,-0.1
284.116405,28.9125,
284.126224,28.9125,
284.13009,,-0.1
284.136396,28.9125,
284.146211,28.9125,
284.149785,,-0.1
284.156395,28.9125,
284.166219,28.9125,
284.169779,,-0.1
284.176379,28.9125,
284.186225,28.9125,
284.190014,,-0.1
284.196391,28.9125,
284.206223,28.85625,
284.209771,,-0.1
284.216368,28.8,
284.226229,28.74375,
284.230097,,-0.1
284.236388,28.74375,
284.246231,28.8,
284.249763,,0
284.256391,28.85625,
284.266236,28.85625,
284.269764,,0
284.276373,28.85625,
284.286221,28.85625,
284.290007,,0
284.296406,28.9125,
284.306231,28.9125,
284.309956,,0
284.316389,28.85625,
284.326241,28.8,
284.329836,,0
284.336401,28.8,
284.346236,28.8,
284.349747,,0
284.356382,28.8,
284.366233,28.8,
284.369761,,0
284.376368,28.8,
284.38621,28.8,
284.389739,,0
284.396401,28.8,
284.406213,28.8,
284.409737,,-0.1
